Odor;Exp_ID;Concentration;Or33b_47a;Or45a;Or83a;Or35a;Or42a;Or59a;Or1a;Or45b;Or63a;Or24a;Or67b;Or85c;Or13a;Or30a;Or82a;Or22c;Or42b;Or33a;Or49a;Or74a;Or94a_94b
methyl phenyl sulfide;101;0.0001;2.664;0;0;0;0;0.9655;1.4185;4.7822;0;5.2264;3.6887;0;0;4.5182;0;3.4941;0;0;0;0;2.3635
methyl phenyl sulfide;301;1e-08;0;0;0;0;0;0;0.0836;0;0;0.2851;0.01405;0;0;0;0;0;0;0;0;0;0
methyl phenyl sulfide;301;1e-07;0;0;0;0;0;-0.01873;0.2884;0.6217;0;2.4505;0.1683;0;0;-0.02033;0;0.06962;0;0;0;0;0
methyl phenyl sulfide;301;1e-06;0;0;0;0;0;0.0956;0.333;1.409;0;6.4012;0.5107;0;0;0.8661;0;1.0137;0;0;0;0;0
methyl phenyl sulfide;301;1e-05;0;0;0;0;0;0.05628;1.5783;1.763;0;6.4012;2.2059;0;0;2.5924;0;1.4106;0;0;0;0;0
methyl phenyl sulfide;301;0.0001;0;0;0;0;0;0.4802;3.8043;3.6311;0;6.4012;3.7044;0;0;2.5673;0;1.4081;0;0;0;0;0
methyl phenyl sulfide;401;1e-08;0;0;0;0;0;0;0.01242;0;0;1.397;0.1492;0;0;0;0;0.01042;0;0;0;0;0
methyl phenyl sulfide;401;1e-07;0;0;0;0;0;0;0.0169;0.09333;0;5.8044;0.06125;0;0;-0.0001732;0;0.08315;0;0;0;0;0
methyl phenyl sulfide;401;1e-06;0;0;0;0;0;0;0.06149;1.4238;0;5.9242;0.1165;0;0;0.244;0;1.0683;0;0;0;0;0
methyl phenyl sulfide;401;1e-05;0;0;0;0;0;0;0.2867;6.3204;0;5.9242;1.943;0;0;2.6648;0;2.8637;0;0;0;0;0
methyl phenyl sulfide;401;0.0001;0;0;0;0;0;0;1.806;5.996;0;5.9242;4.977;0;0;4.2452;0;2.8709;0;0;0;0;0
methyl phenyl sulfide;501;1e-08;0.1556;0;0;0.03627;0;0.00452;0.01752;0.1058;0;1.0927;0;0;0;0.08291;0;0.1655;0;0;0;0;0
